Date,Time,Marondera,Gweru,Mutare,Masvingo,Chinhoyi,Psi,Bridh,Mpilo,NMRL,Bindura,Kadoma,VicFalls,Gwanda,Lupane
26/03/20 , 05:57 , 0.303 , 0.382 , 0.261 , 14.7 , 0.332 , 0.258 , 12.4 , 12.0 , 0.288 , 0.333 , 0.608 , 0.290 , 0.333 , 0.247 , 0.290
26/03/20 , 06:00 , 0.312 , 0.562 , 0.401 , 10.3 , 0.395 , 0.368 , 8.75 , 12.4 , 0.433 , 0.705 , 0.435 , 0.453 , 0.705 , 0.296 , 0.453
26/03/20 , 06:03 , 0.334 , 0.397 , 0.358 , 12.0 , 0.279 , 0.354 , 10.1 , 12.4 , 0.348 , 0.337 , 0.363 , 0.337 , 0.337 , 0.264 , 0.337
26/03/20 , 06:06 , 0.370 , 0.530 , 0.455 , 80.6 , 0.396 , 0.388 , 11.3 , 13.9 , 0.340 , 0.337 , 0.375 , 0.394 , 0.337 , 0.264 , 0.394
26/03/20 , 06:09 , 0.397 , 0.446 , 0.370 , 14.4 , 0.268 , 0.331 , 9.69 , 11.7 , 0.342 , 0.311 , 0.312 , 0.329 , 0.311 , 0.260 , 0.329
26/03/20 , 06:12 , 0.333 , 0.396 , 0.390 , 9.43 , 0.274 , 0.271 , 11.9 , 14.1 , 0.233 , 0.333 , 0.303 , 0.385 , 0.333 , 0.275 , 0.385
26/03/20 , 06:15 , 0.315 , 0.542 , 0.505 , 12.4 , 0.395 , 0.504 , 9.70 , 16.0 , 0.549 , 0.353 , 0.377 , 0.525 , 0.353 , 0.288 , 0.525
26/03/20 , 06:18 , 0.357 , 0.480 , 0.505 , 10.2 , 0.396 , 0.462 , 9.80 , 11.8 , 0.409 , 0.340 , 0.382 , 0.513 , 0.340 , 0.310 , 0.513
26/03/20 , 06:21 , 0.337 , 0.497 , 0.498 , 11.3 , 0.404 , 0.411 , 11.0 , 11.4 , 0.550 , 0.356 , 0.410 , 0.457 , 0.356 , 0.294 , 0.457
26/03/20 , 06:24 , 0.359 , 0.461 , 0.330 , 12.1 , 0.492 , 0.331 , 11.0 , 10.8 , 0.434 , 0.324 , 0.332 , 0.404 , 0.324 , 0.358 , 0.404
26/03/20 , 06:27 , 0.324 , 0.559 , 0.309 , , 0.596 , 0.511 , exceeded , 12.0 , 0.577 , 0.320 , 0.345 , 0.553 , 0.320 , 0.339 , 0.553
26/03/20 , 06:30 , 0.423 , 0.529 , 0.311 , , 0.466 , 0.420 , exceeded , 12.0 , 0.379 , 0.933 , 0.362 , 0.430 , 0.933 , 0.258 , 0.430
26/03/20 , 06:33 , 0.367 , 0.403 , 0.370 , , 0.591 , 0.507 , exceeded , 10.7 , 0.547 , 0.363 , 0.363 , 0.525 , 0.363 , 0.312 , 0.525
26/03/20 , 06:36 , 0.336 , 0.469 , 0.415 , , 0.797 , 0.419 , exceeded , 11.0 , 0.434 , 0.238 , 0.430 , 0.426 , 0.238 , 0.309 , 0.426
